word,embedding,score,diff
companion,-0.359,0.2,0.559
toast,0.311,0.4,0.089
lounge,0.12,0.1,0.02
watch,0.401,0.1,0.301
haul,-0.237,-0.3,0.063
combination,0.032,0.0,0.032
majesty,-0.525,0.4,0.925
extinguish,-0.72,-0.6,0.12
nutrient,0.194,0.3,0.106
bark,-0.126,-0.2,0.074
rest,-0.113,0.0,0.113
hold,-0.702,0.0,0.702
drainage,-0.09,-0.4,0.31
chill,-0.319,-0.3,0.019
time,-0.359,0.0,0.359
drink,0.121,0.1,0.021
eat,0.17,0.3,0.13
journey,0.339,0.2,0.139
surf,0.121,0.1,0.021
shipment,0.069,-0.1,0.169
measure,-0.52,0.0,0.52
devour,-0.741,-0.5,0.241
cutlery,-0.001,-0.1,0.099
catch,0.191,0.0,0.191
drive,0.067,0.2,0.133
cooling,-0.511,0.0,0.511
sail,0.099,0.3,0.201
flutter,-0.234,0.2,0.434
moo,-0.189,-0.1,0.089
descend,-0.299,-0.3,0.001
commute,0.405,0.0,0.405
score,-0.18,0.0,0.18
indulgence,-0.204,0.3,0.504
cutting,-0.098,-0.4,0.302
containment,-0.401,-0.1,0.301
communication,-0.53,0.3,0.83
transportation,-0.242,0.0,0.242
glide,-0.135,0.2,0.335
slice,-0.188,-0.4,0.212
drying,-0.001,-0.2,0.199
tote,0.002,0.0,0.002
nurture,-0.149,0.6,0.749
breakfast,0.372,0.5,0.128
cut,0.199,-0.4,0.599
throw,-0.057,-0.4,0.343
brush,-0.614,0.1,0.714
competition,-0.228,-0.3,0.072
signal,-0.281,0.0,0.281
carry,-0.357,0.1,0.457
mobility,-0.112,0.0,0.112
dine,0.162,0.6,0.438
conformity,-0.392,-0.2,0.192
Thanksgiving,0.019,0.7,0.681
comfort,-0.542,0.6,1.142
call,0.002,0.2,0.198
soar,-0.265,0.4,0.665
pause,-0.519,0.0,0.519
input,0.096,0.0,0.096
hygiene,0.314,0.2,0.114
click,0.497,0.0,0.497
health,0.315,0.6,0.285
entertainment,-0.686,0.5,1.186
halt,-0.402,-0.4,0.002
crunch,0.469,-0.3,0.769
softness,-0.367,0.1,0.467
control,-0.54,0.2,0.74
loyalty,-0.068,0.7,0.768
formality,-0.902,0.0,0.902
individuality,-0.409,0.4,0.809
gallop,0.218,0.1,0.118
protection,-0.255,0.6,0.855
gathering,-0.099,0.2,0.299
pattern,0.01,0.0,0.01
walk,-0.112,0.1,0.212
productivity,-0.124,0.8,0.924
purr,-0.613,0.3,0.913
sip,-0.227,0.1,0.327
decoration,-0.626,0.2,0.826
bite,0.192,-0.5,0.692
accessory,-0.349,0.1,0.449
reflection,0.277,0.0,0.277
rinse,-0.585,-0.2,0.385
uncork,-0.243,0.1,0.343
skate,0.714,0.1,0.614
grace,-0.384,0.7,1.084
support,-0.925,0.7,1.625
scoop,-0.262,0.0,0.262
tick,-0.034,-0.1,0.066
flight,0.24,0.3,0.06
type,-0.25,0.0,0.25
read,-0.153,0.1,0.253
bake,0.45,0.3,0.15
navigation,0.088,0.0,0.088
poke,0.048,-0.2,0.248
descent,-0.248,-0.1,0.148
voyage,0.413,0.2,0.213
heating,-0.675,0.0,0.675
thrill,-0.089,0.4,0.489
consume,-0.163,-0.1,0.063
fly,0.388,0.2,0.188
hug,-0.576,0.5,1.076
knowledge,-0.876,0.3,1.176
shield,-0.746,0.1,0.846
transit,-0.055,0.0,0.055
solitude,-0.296,-0.3,0.004
heat,-0.706,-0.1,0.606
fasten,-0.069,0.0,0.069
celebration,-0.649,0.6,1.249
hit,-0.37,-0.4,0.03
flush,-0.346,-0.3,0.046
