word,embedding,score,diff
companion,-0.198,0.2,0.398
toast,-0.557,0.5,1.057
lounge,0.049,-0.3,0.349
watch,-1.0,0.6,1.6
haul,0.046,0.7,0.654
combination,0.192,-0.5,0.692
majesty,-0.622,-0.8,0.178
extinguish,-0.196,0.6,0.796
nutrient,-0.158,-0.7,0.542
bark,-0.125,0.5,0.625
rest,-0.257,0.1,0.357
hold,-0.195,0.7,0.895
drainage,-0.917,-0.2,0.717
chill,-0.218,-0.3,0.082
time,-0.885,-0.8,0.085
drink,-0.356,0.7,1.056
eat,-0.163,0.8,0.963
journey,-0.07,0.6,0.67
surf,-0.559,0.7,1.259
shipment,-0.165,0.1,0.265
measure,0.012,0.3,0.288
devour,0.237,0.7,0.463
cutlery,0.099,-0.4,0.499
catch,-0.28,0.6,0.88
drive,-0.386,0.8,1.186
cooling,-0.729,-0.4,0.329
sail,-0.445,0.7,1.145
flutter,-0.03,0.6,0.63
moo,-0.862,0.1,0.962
descend,-0.075,0.6,0.675
commute,-0.653,0.75,1.403
score,-0.328,0.5,0.828
indulgence,0.053,-0.5,0.553
cutting,-0.958,0.7,1.658
containment,-0.321,-0.6,0.279
communication,-0.817,0.3,1.117
transportation,-0.191,0.8,0.991
glide,-0.214,0.7,0.914
slice,-0.188,0.7,0.888
drying,-0.454,0.6,1.054
tote,-0.134,0.6,0.734
nurture,0.286,0.4,0.114
breakfast,0.018,0.2,0.182
cut,-1.0,0.8,1.8
throw,-0.438,0.6,1.038
brush,-0.586,0.6,1.186
competition,0.178,0.5,0.322
signal,-0.351,0.5,0.851
carry,-0.743,0.8,1.543
mobility,-0.285,0.9,1.185
dine,-0.619,0.2,0.819
conformity,0.365,-0.6,0.965
Thanksgiving,-0.411,-0.3,0.111
comfort,-0.783,-0.6,0.183
call,-0.205,0.7,0.905
soar,-0.334,0.8,1.134
pause,-0.801,-0.2,0.601
input,-0.201,0.4,0.601
hygiene,-0.32,-0.4,0.08
click,-0.921,0.8,1.721
health,-0.486,-0.5,0.014
entertainment,0.252,-0.4,0.652
halt,-0.086,0.8,0.886
crunch,-0.791,0.7,1.491
softness,0.033,-0.6,0.633
control,-1.0,0.3,1.3
loyalty,-0.382,-0.7,0.318
formality,0.055,-0.5,0.555
individuality,0.192,-0.6,0.792
gallop,-0.106,0.9,1.006
protection,-0.592,-0.3,0.292
gathering,0.057,0.2,0.143
pattern,-0.613,-0.4,0.213
walk,-0.457,1.0,1.457
productivity,-0.507,0.2,0.707
purr,-0.514,0.6,1.114
sip,-0.164,0.5,0.664
decoration,-0.349,-0.3,0.049
bite,-0.462,0.8,1.262
accessory,0.133,-0.2,0.333
reflection,-0.479,-0.7,0.221
rinse,-0.255,0.7,0.955
uncork,0.1,0.9,0.8
skate,0.022,1.0,0.978
grace,-0.659,-0.1,0.559
support,-0.04,-0.5,0.46
scoop,-0.098,0.8,0.898
tick,-0.021,0.9,0.921
flight,-0.638,1.0,1.638
type,0.378,0.8,0.422
read,-1.0,1.0,2.0
bake,-0.611,1.0,1.611
navigation,-0.614,0.0,0.614
poke,-0.192,1.0,1.192
descent,0.085,0.5,0.415
voyage,-0.018,1.0,1.018
heating,-0.037,0.5,0.537
thrill,0.098,0.5,0.402
consume,-0.575,1.0,1.575
fly,-1.0,1.0,2.0
hug,0.048,1.0,0.952
knowledge,-0.224,-1.0,0.776
shield,0.328,-0.5,0.828
transit,-0.167,1.0,1.167
solitude,-0.435,-1.0,0.565
heat,0.405,0.0,0.405
fasten,-0.133,1.0,1.133
celebration,0.003,0.5,0.497
hit,-0.696,1.0,1.696
flush,0.267,1.0,0.733
adventure,-0.251,1.0,1.251
