word,embedding,label
plum,0.35219240188598633,1
umber,0.19749990105628967,1
emerald,0.04776646941900253,1
lavender,-0.18873485922813416,1
sepia,-0.31810563802719116,1
viridian,0.4049186706542969,1
orchid,-0.43113118410110474,1
olive,0.0125961285084486,1
wheat,-0.1519097536802292,1
ultramarine,0.21755293011665344,1
indigo,0.17265087366104126,1
tan,0.2021242082118988,1
silver,0.17675459384918213,1
chocolate,0.0863819494843483,1
lime,-0.08360178023576736,1
carmine,0.1088375598192215,1
ochre,-0.008309200406074524,1
cyan,0.4852522015571594,1
fuchsia,-0.13221795856952667,1
maroon,0.21025419235229492,1
navy,0.05384477972984314,1
teal,0.014348641037940979,1
bisque,0.15234613418579102,1
gold,0.035769023001194,1
gray,0.1697293221950531,1
khaki,0.2799321115016937,1
turquoise,0.07210971415042877,1
coral,0.03592716157436371,1
firebrick,-0.2275613695383072,1
beige,0.39580050110816956,1
crimson,-0.17990745604038239,1
aqua,0.33391472697257996,1
chartreuse,0.35566750168800354,1
azure,0.5460708141326904,1
red,0.20543299615383148,1
blue,0.22896477580070496,1
pink,-0.2183140218257904,1
white,0.33858639001846313,1
violet,-0.11951273679733276,1
yellow,0.2726854383945465,1
purple,0.33418503403663635,1
orange,0.17704784870147705,1
bridge,-0.4246523976325989,0
friend,-0.10049191862344742,0
doubt,-0.1668912023305893,0
mirror,-0.4318210780620575,0
adult,0.264193058013916,0
freedom,-0.13140614330768585,0
fish,0.29336246848106384,0
food,-0.2008049190044403,0
wisdom,0.06700729578733444,0
economy,-0.45856308937072754,0
poverty,-0.3832865357398987,0
singer,-0.10021825134754181,0
truth,-0.3453066349029541,0
lock,-0.30363836884498596,0
wealth,-0.07742250710725784,0
shoe,-0.21896909177303314,0
child,-0.005961323156952858,0
engineer,0.08994562923908234,0
drink,0.09232769906520844,0
failure,-0.6142654418945312,0
love,-0.05693130940198898,0
anger,-0.5198854207992554,0
ship,-0.07018900662660599,0
religion,-0.4846569299697876,0
fear,0.077149398624897,0
clock,-0.09797241538763046,0
moon,-0.17058449983596802,0
patient,-0.2979172468185425,0
nature,0.25964775681495667,0
bird,-0.11506179720163345,0
flower,-0.4386794865131378,0
train,0.3194776177406311,0
road,0.0759437158703804,0
book,-0.5739440321922302,0
student,-0.2751274108886719,0
idea,0.10391339659690857,0
tree,-0.15572164952754974,0
culture,-0.2378971427679062,0
friendship,0.0510297566652298,0
politician,-0.21782679855823517,0
plane,0.05205216258764267,0
hat,-0.1722746044397354,0
technology,-0.41848400235176086,0
paper,-0.19425055384635925,0
history,-0.05680777132511139,0
society,0.15621568262577057,0
cloud,-0.21535605192184448,0
writer,-0.3996315598487854,0
knowledge,-0.2676345407962799,0
phone,0.06645862013101578,0
memory,-0.1811232566833496,0
war,-0.2858644127845764,0
car,-0.028556495904922485,0
loneliness,0.09752193093299866,0
door,-0.4568854570388794,0
peace,0.19822107255458832,0
city,-0.3913596272468567,0
success,-0.4884191155433655,0
lie,0.3769437372684479,0
chair,-0.3943566679954529,0
computer,-0.13169120252132416,0
emotion,-0.26167359948158264,0
teacher,-0.5237817764282227,0
language,-0.09132076799869537,0
song,0.04118793457746506,0
movie,-0.052830517292022705,0
lawyer,-0.02677081525325775,0
sun,-0.5817334651947021,0
star,-0.02359726093709469,0
justice,0.10005511343479156,0
family,0.009882675483822823,0
key,-0.13149242103099823,0
