word,embedding,score,diff
companion,0.069,0.2,0.131
toast,0.059,0.0,0.059
lounge,-0.065,-0.2,0.135
watch,0.175,0.4,0.225
haul,-0.094,0.7,0.794
combination,0.029,-0.2,0.229
majesty,0.097,-0.7,0.797
extinguish,-0.022,0.6,0.622
nutrient,0.305,-0.8,1.105
bark,0.132,0.4,0.268
rest,0.139,-0.2,0.339
hold,0.406,0.4,0.006
drainage,-0.023,-0.3,0.277
chill,0.171,0.0,0.171
time,0.047,0.0,0.047
drink,0.102,0.4,0.298
eat,0.171,0.7,0.529
journey,-0.425,0.9,1.325
surf,0.168,0.8,0.632
shipment,0.103,0.6,0.497
measure,-0.239,0.5,0.739
devour,-0.307,0.9,1.207
cutlery,-0.162,-0.5,0.338
catch,0.285,0.6,0.315
drive,0.035,0.8,0.765
cooling,0.151,-0.4,0.551
sail,-0.135,0.7,0.835
flutter,0.207,0.6,0.393
moo,0.171,-0.1,0.271
descend,0.367,0.9,0.533
commute,-0.074,0.9,0.974
score,0.016,0.7,0.684
indulgence,-0.367,-0.9,0.533
cutting,-0.271,0.8,1.071
containment,0.287,-0.6,0.887
communication,0.049,0.9,0.851
transportation,0.124,0.8,0.676
glide,0.169,0.8,0.631
slice,-0.256,0.7,0.956
drying,0.078,0.8,0.722
tote,0.115,0.8,0.685
nurture,-0.16,0.7,0.86
breakfast,0.358,0.5,0.142
cut,-0.545,0.9,1.445
throw,0.083,0.8,0.717
brush,0.291,0.7,0.409
competition,0.358,0.8,0.442
signal,0.125,0.7,0.575
carry,0.315,0.8,0.485
mobility,0.061,0.2,0.139
dine,0.201,0.6,0.399
conformity,-0.674,-0.8,0.126
Thanksgiving,-0.073,-0.1,0.027
comfort,0.242,-0.8,1.042
call,0.498,0.8,0.302
soar,0.056,0.8,0.744
pause,0.286,-0.3,0.586
input,0.386,0.7,0.314
hygiene,0.176,0.0,0.176
click,-0.116,0.7,0.816
health,-0.152,0.0,0.152
entertainment,0.119,0.0,0.119
halt,-0.055,0.7,0.755
crunch,0.045,0.7,0.655
softness,0.326,-0.7,1.026
control,0.176,0.3,0.124
loyalty,-0.006,-0.9,0.894
formality,-0.048,-1.0,0.952
individuality,-0.416,-1.0,0.584
gallop,-0.467,0.9,1.367
protection,0.019,-0.7,0.719
gathering,0.299,0.6,0.301
pattern,0.112,-0.8,0.912
walk,-0.167,0.7,0.867
productivity,0.14,0.0,0.14
purr,-0.181,0.5,0.681
sip,0.019,0.9,0.881
decoration,0.133,-0.6,0.733
bite,-0.069,0.8,0.869
accessory,0.099,-0.5,0.599
reflection,-0.219,-0.4,0.181
rinse,-0.277,0.8,1.077
uncork,-0.24,0.8,1.04
skate,-0.22,0.8,1.02
grace,0.069,-0.2,0.269
support,0.552,-0.3,0.852
scoop,-0.091,0.7,0.791
tick,0.069,0.0,0.069
flight,-0.042,0.7,0.742
type,0.23,0.4,0.17
read,0.264,1.0,0.736
