word,embedding,score,diff
companion,-0.082,0.3,0.382
toast,0.411,-0.2,0.611
lounge,-0.116,-0.4,0.284
watch,-0.003,-0.2,0.197
haul,0.031,-0.1,0.131
combination,-0.146,-0.3,0.154
majesty,-0.182,-0.2,0.018
extinguish,-0.121,0.5,0.621
nutrient,0.248,0.8,0.552
bark,0.248,1.0,0.752
rest,-0.018,-0.5,0.482
hold,-0.306,-0.4,0.094
drainage,0.414,1.0,0.586
chill,-0.081,-0.1,0.019
time,-0.022,-0.3,0.278
drink,0.312,-0.2,0.512
eat,-0.038,-0.9,0.862
journey,-0.241,-0.5,0.259
surf,-0.13,-0.1,0.03
shipment,-0.011,0.2,0.211
measure,-0.221,-0.2,0.021
devour,-0.273,-0.6,0.327
cutlery,0.219,-0.9,1.119
catch,-0.42,-0.4,0.02
drive,-0.217,-0.7,0.483
cooling,0.172,0.2,0.028
sail,-0.039,-0.1,0.061
flutter,-0.159,1.0,1.159
moo,0.08,1.0,0.92
descend,0.022,-0.2,0.222
commute,-0.365,0.0,0.365
score,-0.029,0.0,0.029
indulgence,-0.389,-0.5,0.111
cutting,-0.31,0.0,0.31
containment,0.128,0.0,0.128
communication,0.267,-0.6,0.867
transportation,0.042,-0.2,0.242
glide,-0.169,0.3,0.469
slice,-0.441,0.0,0.441
drying,-0.04,-0.1,0.06
tote,-0.504,-0.2,0.304
nurture,-0.172,-0.7,0.528
breakfast,0.367,-0.8,1.167
cut,-0.228,0.0,0.228
throw,0.162,0.0,0.162
brush,0.081,-0.5,0.581
competition,-0.228,-0.7,0.472
signal,-0.063,0.0,0.063
carry,-0.131,-0.3,0.169
mobility,0.1,0.0,0.1
dine,-0.022,-0.8,0.778
conformity,-0.345,-0.6,0.255
Thanksgiving,0.54,-0.9,1.44
comfort,0.024,-0.8,0.824
call,-0.452,-0.5,0.048
soar,-0.443,0.3,0.743
pause,0.398,-0.1,0.498
input,0.246,-0.2,0.446
hygiene,0.334,-0.8,1.134
click,-0.185,0.0,0.185
health,-0.088,0.0,0.088
entertainment,0.057,-0.3,0.357
halt,-0.271,0.0,0.271
crunch,-0.16,0.0,0.16
softness,0.039,0.0,0.039
control,-0.256,-0.5,0.244
loyalty,-0.095,-0.6,0.505
formality,-0.063,-0.4,0.337
individuality,-0.358,-0.7,0.342
