word,embedding,score,diff
companion,0.317,-0.2,0.517
toast,-0.243,-0.9,0.657
lounge,0.46,-0.8,1.26
watch,0.933,-0.7,1.633
haul,-0.102,-0.8,0.698
combination,0.543,0.2,0.343
majesty,0.404,0.7,0.296
extinguish,0.583,-0.4,0.983
nutrient,0.201,-0.7,0.901
bark,0.088,-0.9,0.988
rest,0.169,-0.4,0.569
hold,0.504,-0.5,1.004
drainage,0.539,-0.9,1.439
chill,0.191,-0.4,0.591
time,1.0,0.4,0.6
drink,0.289,-0.7,0.989
eat,0.474,-0.7,1.174
journey,0.447,0.1,0.347
surf,0.065,-0.6,0.665
shipment,0.133,-0.8,0.933
measure,0.108,-0.1,0.208
devour,0.307,-0.7,1.007
cutlery,0.441,-0.9,1.341
catch,0.261,-0.5,0.761
drive,0.412,-0.6,1.012
cooling,0.312,-0.6,0.912
sail,0.286,-0.6,0.886
flutter,0.296,-0.4,0.696
moo,0.735,-0.8,1.535
descend,-0.002,-0.6,0.598
commute,0.495,0.1,0.395
score,0.56,-0.2,0.76
indulgence,0.417,0.6,0.183
cutting,0.079,-0.4,0.479
containment,0.107,0.1,0.007
communication,0.408,0.5,0.092
transportation,0.601,-0.3,0.901
glide,0.158,-0.1,0.258
slice,0.022,-0.5,0.522
drying,0.116,-0.4,0.516
tote,0.331,-0.3,0.631
nurture,0.688,0.1,0.588
breakfast,0.268,-0.6,0.868
cut,0.457,-0.5,0.957
throw,0.024,-0.3,0.324
brush,0.382,-0.4,0.782
competition,0.298,0.2,0.098
signal,0.493,0.1,0.393
carry,0.311,-0.3,0.611
mobility,0.554,-0.2,0.754
dine,0.3,-0.4,0.7
conformity,0.664,0.6,0.064
Thanksgiving,0.156,-0.5,0.656
comfort,0.251,0.3,0.049
call,0.714,0.2,0.514
soar,0.587,-0.2,0.787
pause,0.332,0.1,0.232
input,0.287,0.1,0.187
hygiene,0.197,-0.5,0.697
click,0.792,-0.4,1.192
health,0.733,0.8,0.067
entertainment,0.307,0.5,0.193
halt,0.613,-0.6,1.213
crunch,0.224,-0.5,0.724
softness,-0.082,0.6,0.682
control,0.616,0.7,0.084
loyalty,0.031,0.9,0.869
formality,0.137,0.6,0.463
individuality,0.323,0.9,0.577
gallop,0.596,-0.7,1.296
protection,0.693,0.5,0.193
gathering,-0.012,0.2,0.212
pattern,0.574,0.6,0.026
walk,0.144,-0.7,0.844
productivity,0.179,0.7,0.521
purr,-0.233,-0.6,0.367
sip,0.238,-0.6,0.838
decoration,0.433,0.2,0.233
bite,0.14,-0.8,0.94
accessory,0.329,0.1,0.229
reflection,0.459,0.6,0.141
rinse,0.379,-0.7,1.079
uncork,0.507,-0.7,1.207
skate,-0.157,-0.8,0.643
grace,0.574,0.7,0.126
support,0.819,0.7,0.119
scoop,0.036,-0.7,0.736
tick,0.109,-0.6,0.709
flight,0.657,0.3,0.357
type,0.509,-0.4,0.909
read,0.519,0.0,0.519
bake,0.628,-0.8,1.428
navigation,0.63,-0.5,1.13
poke,-0.22,-0.8,0.58
descent,0.309,-0.3,0.609
voyage,0.204,-0.4,0.604
heating,0.454,-0.5,0.954
thrill,0.099,0.6,0.501
consume,0.116,-0.3,0.416
fly,0.712,-0.4,1.112
