word,embedding,score,diff
companion,-0.2,0.5,0.7
toast,0.106,-1.0,1.106
lounge,0.145,-0.3,0.445
watch,-0.041,-0.8,0.759
haul,-0.079,-0.9,0.821
combination,0.156,0.2,0.044
majesty,0.042,0.9,0.858
extinguish,-0.22,-0.3,0.08
nutrient,-0.14,-0.8,0.66
bark,0.04,-1.0,1.04
rest,0.14,-0.2,0.34
hold,0.308,-0.6,0.908
drainage,-0.094,-0.7,0.606
chill,0.295,-0.1,0.395
time,0.297,0.6,0.303
drink,-0.174,-0.4,0.226
eat,0.366,-0.5,0.866
journey,-0.087,0.5,0.587
surf,-0.105,-0.1,0.005
shipment,-0.095,-0.8,0.705
measure,-0.059,0.0,0.059
devour,0.171,-0.4,0.571
cutlery,-0.075,-0.7,0.625
catch,-0.192,-0.9,0.708
drive,0.395,-0.4,0.795
cooling,-0.129,-0.2,0.071
sail,-0.09,-0.3,0.21
flutter,0.074,-0.1,0.174
moo,-0.008,-1.0,0.992
descend,0.057,-0.5,0.557
commute,0.029,0.2,0.171
score,-0.125,0.1,0.225
indulgence,-0.263,0.7,0.963
cutting,0.014,-0.6,0.614
containment,-0.126,0.3,0.426
communication,-0.308,0.5,0.808
transportation,-0.212,-0.2,0.012
glide,-0.028,-0.3,0.272
slice,-0.05,-0.7,0.65
drying,-0.096,-0.6,0.504
tote,0.108,-0.5,0.608
nurture,-0.052,0.6,0.652
breakfast,0.202,-0.8,1.002
cut,0.044,-0.7,0.744
throw,0.075,-0.4,0.475
brush,0.092,-0.4,0.492
competition,-0.188,0.6,0.788
signal,-0.097,0.2,0.297
carry,-0.059,-0.5,0.441
mobility,-0.022,-0.1,0.078
dine,0.196,-0.7,0.896
conformity,0.17,0.8,0.63
Thanksgiving,0.006,-0.6,0.606
comfort,0.043,0.7,0.657
call,0.198,0.3,0.102
soar,0.02,-0.2,0.22
pause,0.182,0.1,0.082
input,-0.251,0.4,0.651
hygiene,-0.211,-0.5,0.289
click,-0.149,-0.2,0.051
health,-0.146,0.8,0.946
entertainment,-0.342,0.7,1.042
halt,0.208,-0.7,0.908
crunch,0.07,-0.9,0.97
softness,-0.035,0.2,0.235
control,0.114,0.6,0.486
loyalty,0.37,0.9,0.53
formality,0.305,0.8,0.495
individuality,0.165,0.9,0.735
gallop,0.195,-0.8,0.995
protection,-0.126,0.7,0.826
gathering,-0.002,0.5,0.502
pattern,0.206,0.4,0.194
walk,0.146,-0.9,1.046
productivity,-0.077,0.8,0.877
purr,-0.24,-0.9,0.66
sip,-0.247,-0.9,0.653
decoration,0.132,-0.5,0.632
bite,-0.056,-0.95,0.894
accessory,-0.089,-0.7,0.611
reflection,0.105,0.8,0.695
rinse,0.263,-0.9,1.163
uncork,-0.069,-0.9,0.831
skate,-0.025,-0.9,0.875
grace,0.095,0.6,0.505
support,-0.033,0.7,0.733
scoop,-0.115,-0.9,0.785
tick,-0.067,-0.7,0.633
flight,-0.006,-0.6,0.594
type,-0.113,-0.5,0.387
read,-0.224,0.1,0.324
bake,-0.09,-0.8,0.71
navigation,-0.364,-0.7,0.336
poke,-0.167,-0.9,0.733
descent,0.211,-0.3,0.511
voyage,-0.183,-0.6,0.417
heating,-0.007,-0.7,0.693
thrill,0.084,0.7,0.616
consume,0.154,-0.5,0.654
fly,-0.081,-0.7,0.619
hug,-0.273,-0.8,0.527
knowledge,0.077,0.9,0.823
shield,0.316,-0.8,1.116
transit,-0.031,-0.7,0.669
solitude,0.28,0.8,0.52
heat,0.052,-0.6,0.652
fasten,0.1,-0.8,0.9
celebration,-0.059,0.6,0.659
hit,-0.041,-0.8,0.759
flush,0.04,-0.8,0.84
adventure,-0.181,0.8,0.981
peel,0.125,-1.0,1.125
song,-0.064,0.2,0.264
elegance,0.198,0.8,0.602
recreation,-0.291,0.8,1.091
roar,-0.009,-0.6,0.591
trumpet,-0.107,-0.9,0.793
container,-0.347,-0.6,0.253
aroma,-0.001,-0.3,0.299
childhood,-0.097,0.9,0.997
measurement,-0.209,0.2,0.409
sanitation,-0.12,-0.1,0.02
vibration,0.087,-0.2,0.287
dry,0.152,-0.4,0.552
growth,0.058,0.5,0.442
safety,-0.069,0.6,0.669
swing,0.182,-0.5,0.682
crave,0.166,0.1,0.066
ride,0.023,-0.6,0.623
sharpness,0.307,-0.2,0.507
stride,0.013,-0.3,0.313
graze,0.035,-0.6,0.635
excitement,0.017,0.8,0.783
sit,0.362,-0.5,0.862
indulge,-0.33,0.2,0.53
acidity,-0.002,-0.4,0.398
prong,-0.232,-0.9,0.668
chop,0.307,-0.7,1.007
munch,0.078,-0.6,0.678
person,-0.141,-1.0,0.859
bicycle,-0.073,-0.8,0.727
car,0.165,-0.9,1.065
motorcycle,-0.014,-0.8,0.786
airplane,-0.117,-0.9,0.783
bus,-0.109,-0.9,0.791
train,0.068,-0.7,0.768
truck,-0.063,-1.0,0.937
boat,-0.371,-0.8,0.429
traffic light,-0.01,-0.95,0.94
fire hydrant,-0.235,-1.0,0.765
stop sign,0.121,-1.0,1.121
parking meter,0.46,-1.0,1.46
bench,0.033,-1.0,1.033
bird,-0.181,-1.0,0.819
cat,-0.147,-1.0,0.853
dog,-0.21,-1.0,0.79
horse,-0.054,-1.0,0.946
sheep,-0.013,-1.0,0.987
cow,0.105,-1.0,1.105
elephant,-0.072,-1.0,0.928
bear,-0.017,-1.0,0.983
