word,embedding,score,diff
companion,0.109,0.0,0.109
toast,0.026,1.0,0.974
lounge,0.116,0.8,0.684
watch,-0.061,1.0,1.061
haul,0.311,0.5,0.189
combination,0.067,-0.4,0.467
majesty,0.162,-0.7,0.862
extinguish,-0.242,0.1,0.342
nutrient,-0.2,0.2,0.4
bark,-0.047,1.0,1.047
rest,0.071,-0.1,0.171
hold,0.256,0.3,0.044
drainage,-0.339,0.9,1.239
chill,-0.133,0.0,0.133
time,0.017,-0.9,0.917
drink,0.089,0.2,0.111
eat,-0.2,0.2,0.4
journey,-0.069,-0.5,0.431
surf,-0.088,0.4,0.488
shipment,0.099,0.8,0.701
measure,-0.114,-0.3,0.186
devour,-0.076,0.2,0.276
cutlery,-0.387,1.0,1.387
catch,0.129,0.3,0.171
drive,0.291,0.6,0.309
cooling,-0.024,0.6,0.624
sail,-0.093,0.2,0.293
flutter,0.125,0.1,0.025
moo,0.093,0.8,0.707
descend,0.191,0.4,0.209
commute,-0.088,0.1,0.188
score,0.062,-0.1,0.162
indulgence,0.237,-0.4,0.637
cutting,-0.349,0.3,0.649
containment,-0.092,0.3,0.392
communication,-0.422,-0.4,0.022
transportation,-0.338,0.1,0.438
glide,0.111,-0.1,0.211
slice,-0.061,0.3,0.361
drying,-0.073,0.3,0.373
tote,0.021,0.3,0.279
nurture,-0.057,-0.3,0.243
breakfast,-0.306,0.5,0.806
cut,-0.306,0.3,0.606
throw,-0.287,0.3,0.587
brush,0.054,0.3,0.246
competition,-0.006,-0.5,0.494
signal,-0.045,-0.2,0.155
carry,-0.027,0.3,0.327
mobility,0.088,0.1,0.012
dine,0.403,0.4,0.003
conformity,-0.033,-0.6,0.567
Thanksgiving,0.148,0.2,0.052
comfort,0.07,-0.3,0.37
call,0.154,-0.1,0.254
soar,0.095,-0.2,0.295
pause,0.016,-0.3,0.316
input,-0.185,-0.4,0.215
hygiene,-0.355,0.6,0.955
click,0.137,0.2,0.063
health,-0.482,-0.9,0.418
entertainment,-0.243,-0.65,0.407
halt,-0.171,0.3,0.471
crunch,0.175,0.35,0.175
softness,0.214,-0.5,0.714
control,-0.344,-0.75,0.406
loyalty,-0.138,-0.85,0.712
formality,-0.289,-0.75,0.461
individuality,-0.296,-0.9,0.604
gallop,-0.217,0.5,0.717
protection,-0.128,-0.2,0.072
gathering,0.089,0.15,0.061
pattern,-0.277,-0.1,0.177
walk,0.123,0.6,0.477
productivity,0.109,-0.85,0.959
purr,0.309,0.2,0.109
sip,-0.002,0.5,0.502
decoration,-0.194,0.8,0.994
bite,-0.209,0.7,0.909
accessory,0.105,0.9,0.795
reflection,-0.336,0.1,0.436
rinse,0.12,0.4,0.28
uncork,0.1,0.5,0.4
skate,0.053,0.55,0.497
grace,-0.252,-0.5,0.248
support,-0.199,-0.3,0.101
scoop,0.216,0.6,0.384
tick,-0.369,0.2,0.569
flight,-0.325,0.3,0.625
type,-0.346,0.4,0.746
read,-0.092,0.0,0.092
bake,-0.183,0.0,0.183
navigation,-0.071,-0.5,0.429
poke,0.045,0.0,0.045
descent,-0.297,-0.5,0.203
voyage,-0.055,-0.2,0.145
