word,embedding,score,diff
companion,-0.012,-0.5,0.488
toast,-0.0,0.9,0.9
lounge,0.113,-0.5,0.613
watch,-0.406,-0.8,0.394
haul,0.048,-0.6,0.648
combination,-0.017,-0.2,0.183
majesty,-0.156,-0.8,0.644
extinguish,-0.138,-0.7,0.562
nutrient,0.145,1.0,0.855
bark,-0.175,-0.3,0.125
rest,-0.337,-0.7,0.363
hold,-0.413,-0.4,0.013
drainage,0.04,-0.2,0.24
chill,-0.121,0.4,0.521
time,-0.184,-0.8,0.616
drink,-0.275,0.9,1.175
eat,-0.332,1.0,1.332
journey,-0.087,-0.7,0.613
surf,-0.033,-0.8,0.767
shipment,0.2,-0.6,0.8
measure,-0.136,-0.3,0.164
devour,-0.005,0.9,0.905
cutlery,0.224,0.8,0.576
catch,-0.033,-0.5,0.467
drive,-0.108,-0.7,0.592
cooling,0.031,0.1,0.069
sail,-0.075,-0.8,0.725
flutter,0.164,-0.7,0.864
moo,-0.408,0.2,0.608
descend,-0.104,-0.8,0.696
commute,-0.038,-1.0,0.962
score,-0.204,-1.0,0.796
indulgence,-0.097,0.0,0.097
cutting,0.0,-0.2,0.2
containment,0.128,-1.0,1.128
communication,-0.145,-1.0,0.855
transportation,0.033,-1.0,1.033
glide,0.117,-0.1,0.217
slice,0.057,0.2,0.143
drying,0.041,-0.3,0.341
tote,-0.053,-0.6,0.547
nurture,0.042,-0.1,0.142
breakfast,-0.438,1.0,1.438
cut,-0.297,-0.2,0.097
throw,-0.49,-0.6,0.11
brush,-0.138,-1.0,0.862
competition,-0.133,-1.0,0.867
signal,-0.335,-1.0,0.665
carry,-0.082,-0.5,0.418
mobility,0.085,-0.8,0.885
dine,-0.333,1.0,1.333
conformity,-0.192,-1.0,0.808
Thanksgiving,-0.002,1.0,1.002
comfort,-0.119,0.1,0.219
call,-0.379,-1.0,0.621
soar,-0.535,-1.0,0.465
pause,-0.32,-0.4,0.08
input,-0.43,-0.8,0.37
hygiene,0.083,-1.0,1.083
click,-0.32,-1.0,0.68
health,-0.092,0.1,0.192
entertainment,0.054,-0.3,0.354
halt,-0.762,-0.8,0.038
crunch,-0.077,0.5,0.577
softness,0.118,-0.1,0.218
control,0.008,-0.7,0.708
loyalty,0.04,-0.8,0.84
formality,-0.269,-0.7,0.431
individuality,0.047,-0.8,0.847
gallop,-0.043,-0.8,0.757
protection,-0.084,-0.8,0.716
gathering,-0.033,0.2,0.233
pattern,-0.206,-0.6,0.394
walk,-0.525,-0.6,0.075
productivity,0.077,-0.4,0.477
purr,-0.474,-0.2,0.274
sip,0.046,0.9,0.854
decoration,-0.186,-0.5,0.314
bite,-0.082,1.0,1.082
accessory,0.168,-0.7,0.868
reflection,-0.21,-0.7,0.49
rinse,-0.031,0.6,0.631
uncork,0.107,0.9,0.793
skate,0.063,-0.8,0.863
grace,-0.265,-0.7,0.435
support,0.04,-0.5,0.54
scoop,0.067,0.7,0.633
tick,-0.022,-0.9,0.878
flight,-0.053,-0.9,0.847
type,-0.378,-0.8,0.422
read,-0.396,-0.8,0.404
bake,-0.119,1.0,1.119
navigation,-0.117,-1.0,0.883
poke,-0.033,0.3,0.333
descent,-0.162,-1.0,0.838
voyage,0.081,-1.0,1.081
heating,-0.034,0.2,0.234
thrill,0.391,-1.0,1.391
consume,0.023,0.5,0.477
fly,-0.158,-1.0,0.842
hug,-0.166,-1.0,0.834
knowledge,-0.082,-0.9,0.818
shield,-0.58,-1.0,0.42
transit,0.227,-1.0,1.227
solitude,-0.156,-1.0,0.844
heat,-0.285,0.1,0.385
fasten,-0.253,-0.7,0.447
celebration,-0.092,0.2,0.292
hit,-0.351,-1.0,0.649
flush,0.097,-0.9,0.997
adventure,0.036,-1.0,1.036
peel,-0.073,0.8,0.873
song,-0.129,-1.0,0.871
elegance,-0.064,-1.0,0.936
recreation,0.022,-1.0,1.022
roar,-0.414,-1.0,0.586
trumpet,-0.591,-1.0,0.409
container,0.073,0.6,0.527
aroma,-0.065,1.0,1.065
childhood,-0.113,-0.8,0.687
measurement,0.05,-0.2,0.25
sanitation,0.013,-0.1,0.113
vibration,-0.114,-0.9,0.786
dry,-0.101,0.2,0.301
growth,-0.005,-0.2,0.195
safety,-0.092,0.4,0.492
swing,-0.01,-0.9,0.89
crave,0.025,0.7,0.675
ride,0.354,-0.9,1.254
sharpness,-0.159,-0.4,0.241
stride,-0.026,-0.8,0.774
graze,-0.053,0.4,0.453
excitement,0.089,-0.8,0.889
sit,-0.28,-0.7,0.42
indulge,-0.065,0.7,0.765
acidity,-0.191,0.8,0.991
prong,-0.205,-0.5,0.295
chop,-0.022,0.9,0.922
munch,-0.222,1.0,1.222
person,-0.12,-1.0,0.88
bicycle,-0.093,-1.0,0.907
car,-0.091,-1.0,0.909
motorcycle,-0.156,-1.0,0.844
airplane,0.072,-1.0,1.072
bus,-0.04,-1.0,0.96
train,-0.344,-1.0,0.656
truck,-0.269,-1.0,0.731
boat,-0.138,-1.0,0.862
traffic light,-0.131,-1.0,0.869
fire hydrant,0.079,-1.0,1.079
stop sign,-0.238,-1.0,0.762
parking meter,0.118,-1.0,1.118
bench,-0.128,-1.0,0.872
bird,-0.334,-1.0,0.666
cat,-0.385,-1.0,0.615
dog,-0.353,-1.0,0.647
horse,-0.238,-1.0,0.762
sheep,-0.279,-1.0,0.721
cow,-0.185,-1.0,0.815
elephant,-0.135,-1.0,0.865
bear,-0.554,-1.0,0.446
zebra,0.068,-1.0,1.068
giraffe,-0.018,-1.0,0.982
backpack,0.099,-1.0,1.099
umbrella,-0.085,-1.0,0.915
handbag,-0.132,-1.0,0.868
tie,-0.306,-1.0,0.694
suitcase,0.113,-1.0,1.113
frisbee,0.009,-1.0,1.009
skis,0.1,-1.0,1.1
snowboard,-0.002,-1.0,0.998
sports ball,-0.156,-1.0,0.844
kite,0.127,-1.0,1.127
baseball bat,-0.205,-1.0,0.795
baseball glove,-0.279,-1.0,0.721
skateboard,0.137,-1.0,1.137
surfboard,-0.015,-1.0,0.985
tennis racket,-0.467,-1.0,0.533
bottle,-0.098,0.5,0.598
wine glass,-0.126,1.0,1.126
cup,-0.527,0.5,1.027
fork,-0.09,0.9,0.99
knife,-0.279,0.9,1.179
spoon,-0.069,0.9,0.969
bowl,-0.062,0.6,0.662
banana,0.071,1.0,0.929
apple,-0.146,1.0,1.146
sandwich,-0.083,1.0,1.083
orange,-0.183,1.0,1.183
broccoli,0.025,1.0,0.975
carrot,0.084,1.0,0.916
hot dog,0.06,1.0,0.94
pizza,-0.084,1.0,1.084
donut,-0.401,1.0,1.401
cake,-0.095,1.0,1.095
chair,-0.342,-1.0,0.658
couch,-0.022,-1.0,0.978
potted plant,0.272,-1.0,1.272
bed,-0.144,-1.0,0.856
dining table,0.146,0.3,0.154
toilet,0.005,-1.0,1.005
tv,-0.284,-1.0,0.716
laptop,0.087,-1.0,1.087
mouse,-0.283,-1.0,0.717
remote,-0.065,-1.0,0.935
keyboard,-0.435,-1.0,0.565
cell phone,-0.21,-1.0,0.79
microwave,0.051,0.8,0.749
oven,-0.141,0.8,0.941
toaster,0.017,0.7,0.683
sink,-0.111,-0.5,0.389
