Word,POS,count
companion,NN,0
toast,NN,0
lounge,NN,0
watch,VB,0
haul,VB,0
combination,NN,0
majesty,NN,0
extinguish,VB,0
nutrient,NN,0
bark,NN,0
rest,NN,0
hold,VB,0
drainage,NN,0
chill,VB,0
time,NN,0
drink,NN,0
eat,VB,0
journey,NN,0
surf,VB,0
shipment,NN,0
measure,NN,0
devour,VB,0
cutlery,NN,0
catch,NN,0
drive,VB,0
cooling,VBG,0
sail,VB,0
flutter,NN,0
moo,NN,0
descend,VB,0
commute,NN,0
score,NN,0
indulgence,NN,0
cutting,NN,0
containment,NN,0
communication,NN,0
transportation,NN,0
glide,VB,0
slice,NN,0
drying,NN,0
tote,NN,0
nurture,NN,0
breakfast,NN,0
cut,NN,0
throw,VB,0
brush,NN,0
competition,NN,0
signal,NN,0
carry,VB,0
mobility,NN,0
dine,VB,0
conformity,NN,0
Thanksgiving,NNP,0
comfort,NN,0
call,VB,0
soar,VB,0
pause,NN,0
input,NN,0
hygiene,NN,0
click,NN,0
health,NN,0
entertainment,NN,0
halt,NN,0
crunch,NN,0
softness,NN,0
control,NN,0
loyalty,NN,0
formality,NN,0
individuality,NN,0
gallop,NN,0
protection,NN,0
gathering,NN,0
pattern,NN,0
walk,VB,0
productivity,NN,0
purr,NN,0
sip,VB,0
decoration,NN,0
bite,NN,0
accessory,NN,0
reflection,NN,0
rinse,VB,0
uncork,VB,0
skate,VB,0
grace,NN,0
support,NN,0
scoop,NN,0
tick,NN,0
flight,NN,0
type,VB,0
read,VB,0
bake,VB,0
navigation,NN,0
poke,VB,0
descent,NN,0
voyage,NN,0
heating,VBG,0
thrill,NN,0
consume,VB,0
fly,VB,0
hug,NN,0
knowledge,NN,0
shield,NN,0
transit,NN,0
solitude,NN,0
heat,NN,0
fasten,VB,0
celebration,NN,0
hit,VB,0
flush,VB,0
adventure,NN,0
peel,VB,0
song,NN,0
elegance,NN,0
recreation,NN,0
roar,NN,0
trumpet,NN,0
container,NN,0
aroma,NN,0
childhood,NN,0
measurement,NN,0
sanitation,NN,0
vibration,NN,0
dry,VB,0
growth,NN,0
safety,NN,0
swing,NN,0
crave,VB,0
ride,VB,0
sharpness,NN,0
stride,NN,0
graze,NN,0
excitement,NN,0
sit,VB,0
indulge,VB,0
acidity,NN,0
prong,NN,0
chop,VB,0
munch,NN,0
person,NN,0
bicycle,NN,0
car,NN,0
motorcycle,NN,0
airplane,NN,0
bus,NN,0
train,NN,0
truck,NN,0
boat,NN,0
traffic light,NN,0
fire hydrant,NN,0
stop sign,NN,0
parking meter,NN,0
bench,NN,0
bird,NN,0
cat,NN,0
dog,NN,0
horse,NN,0
sheep,NN,0
cow,NN,0
elephant,NN,0
bear,NN,0
zebra,NN,0
giraffe,NN,0
backpack,NN,0
umbrella,NN,0
handbag,NN,0
tie,NN,0
suitcase,NN,0
frisbee,NN,0
skis,NN,0
snowboard,NN,0
sports ball,NN,0
kite,NN,0
baseball bat,NN,0
baseball glove,NN,0
skateboard,NN,0
surfboard,NN,0
tennis racket,NN,0
bottle,NN,0
wine glass,NN,0
cup,NN,0
fork,NN,0
knife,NN,0
spoon,NN,0
bowl,NN,0
banana,NN,0
apple,NN,0
sandwich,NN,0
orange,NN,0
broccoli,NN,0
carrot,NN,0
hot dog,NN,0
pizza,NN,0
donut,NN,0
